scheme_name,category,state,target_group,description,eligibility,benefits,application_process,documents_required,official_source
PM-USP Central Sector Scheme of Scholarship for College and University Students,Students,Central,College and university students,Merit-cum-means scholarship support for higher education.,Eligible students meeting academic and income criteria.,Scholarship support for higher education.,Apply through National Scholarship Portal / official process.,Academic records; income proof; ID proof; bank details.,https://www.myscheme.gov.in/
Prime Minister's Scholarship Scheme,Students,Central,Wards/widows of ex-servicemen,Scholarship for professional and technical education.,As per PMSS eligibility rules.,Scholarship amount for studies.,Apply through official PMSS process.,Service proof; academic records; bank details.,https://www.myscheme.gov.in/
National Means-cum-Merit Scholarship Scheme,Students,Central,School students,Scholarship support for meritorious students from economically weaker sections.,Eligible school students under scheme rules.,Scholarship for continuing education.,Apply through official scholarship portal.,Marksheet; income proof; ID proof.,https://www.myscheme.gov.in/
Pre-Matric Scholarship for Students with Disabilities,Disability,Central,School students with disabilities,Financial assistance for school education.,Students with benchmark disabilities under scheme rules.,Scholarship assistance.,Apply through official scholarship portal.,Disability certificate; marksheet; ID proof.,https://www.myscheme.gov.in/
Post-Matric Scholarship for Students with Disabilities,Disability,Central,Post-matric students with disabilities,Financial assistance for post-school education.,Students with benchmark disabilities under scheme rules.,Scholarship assistance.,Apply through official scholarship portal.,Disability certificate; academic records; ID proof.,https://www.myscheme.gov.in/
Top Class Education for Students with Disabilities,Disability,Central,Higher education students with disabilities,Support for quality higher education.,Eligible students in approved institutions.,Tuition and related support.,Apply through official scholarship portal.,Admission proof; disability certificate; income proof.,https://www.myscheme.gov.in/
PM-KISAN,Farmers,Central,Small and marginal farmers,Income support to eligible farmer families.,Landholding farmers under PM-KISAN rules.,Income support installments.,Apply via PM-KISAN process.,Land records; Aadhaar; bank details.,https://www.myscheme.gov.in/
Pradhan Mantri Fasal Bima Yojana,Farmers,Central,Farmers,Crop insurance support against yield loss.,Farmers cultivating notified crops in notified areas.,Insurance coverage for crop loss.,Enroll through bank/insurance/official process.,Land/loan/crop details; ID proof.,https://www.myscheme.gov.in/
Kisan Credit Card,Farmers,Central,Farmers,Short-term credit support for agriculture and allied activities.,Eligible farmers and allied activity beneficiaries.,Access to working capital credit.,Apply through bank.,KYC; land/crop details; bank forms.,https://www.myscheme.gov.in/
Soil Health Card Scheme,Farmers,Central,Farmers,Provides soil nutrient status and fertilizer recommendations.,Farmers under soil sampling programme.,Soil health advisory.,Through agriculture department process.,Land details; sample information.,https://www.myscheme.gov.in/
National Beekeeping and Honey Mission,Farmers,Central,Beekeepers and farmers,Support for beekeeping value chain and productivity.,Eligible beneficiaries under mission guidelines.,Assistance/subsidy/training support.,Apply through implementing agency.,ID proof; proposal; bank details.,https://www.myscheme.gov.in/
Stand Up India Scheme,Entrepreneurs,Central,Women and SC/ST entrepreneurs,Bank loans for greenfield enterprises.,Eligible women/SC/ST entrepreneurs.,Composite loan support.,Apply through bank / Stand Up India portal.,Business plan; KYC; bank documents.,https://www.myscheme.gov.in/
PMEGP,Entrepreneurs,Central,Micro enterprise applicants,Credit-linked subsidy for micro-enterprise setup.,Eligible individuals/institutions under PMEGP rules.,Margin money subsidy.,Apply through KVIC / official portal.,Project report; KYC; education proof where applicable.,https://www.myscheme.gov.in/
Credit Guarantee Fund Trust for Micro and Small Enterprises,Entrepreneurs,Central,MSMEs,Collateral-free credit guarantee support.,Eligible MSME borrowers via member lending institutions.,Credit guarantee cover.,Apply through lender.,Business documents; loan documents.,https://www.myscheme.gov.in/
Startup India Seed Fund Scheme,Entrepreneurs,Central,Startups,Seed funding support for eligible startups.,DPIIT-recognized startups under scheme rules.,Seed fund support.,Apply through official startup process.,Pitch deck; incorporation documents; startup details.,https://www.myscheme.gov.in/
MUDRA Loan,Entrepreneurs,Central,Micro/small business owners,Loans for non-corporate small business sector.,Eligible small business borrowers.,Shishu/Kishor/Tarun loan support.,Apply through banks/NBFCs.,KYC; business proof; application form.,https://www.myscheme.gov.in/
Pradhan Mantri Matru Vandana Yojana,Women,Central,Pregnant and lactating women,Maternity benefit support for first/live birth conditions as applicable.,Eligible women under scheme rules.,Cash assistance in installments.,Apply through official local process.,Mother-child card; ID; bank details.,https://www.myscheme.gov.in/
Beti Bachao Beti Padhao,Women,Central,Girl child and families,Campaign and convergence initiative for welfare of the girl child.,Implemented through district/state mechanisms.,Awareness and convergence support.,Through local implementing authorities.,As per local process.,https://www.myscheme.gov.in/
One Stop Centre Scheme,Women,Central,Women facing violence,Integrated support and assistance services.,Women affected by violence.,Support services and facilitation.,Reach nearest One Stop Centre.,Complaint/ID details as required.,https://www.myscheme.gov.in/
Working Women Hostel,Women,Central,Working women,Safe accommodation support for working women.,Eligible working women under scheme rules.,Hostel accommodation support.,Apply to hostel/institution as applicable.,Employment proof; ID proof.,https://www.myscheme.gov.in/
National Social Assistance Programme - Indira Gandhi National Old Age Pension Scheme,Senior Citizens,Central,Senior citizens below poverty line,Social pension support.,Eligible elderly persons under NSAP rules.,Monthly pension support.,Apply through local body/state process.,Age proof; BPL proof; ID.,https://www.myscheme.gov.in/
Atal Pension Yojana,Senior Citizens,Central,Unorganized sector subscribers,Pension scheme for income security in old age.,Eligible age group subscribers under APY rules.,Defined pension on contribution.,Enroll through bank/post office.,KYC; bank account; Aadhaar if required.,https://www.myscheme.gov.in/
Rashtriya Vayoshri Yojana,Senior Citizens,Central,Senior citizens with age-related disability,Assistive devices for senior citizens belonging to identified groups.,Eligible senior citizens under scheme rules.,Aids and assistive living devices.,Through camp/implementing agency.,Age proof; income/BPL related proof; medical assessment.,https://www.myscheme.gov.in/
Deendayal Disabled Rehabilitation Scheme,Disability,Central,Persons with disabilities,Support for rehabilitation services through NGOs.,Eligible implementing agencies/beneficiaries as per scheme rules.,Rehabilitation support services.,Through implementing organization/official process.,Disability proof and scheme-specific documents.,https://www.myscheme.gov.in/
Assistance to Disabled Persons for Purchase/Fitting of Aids and Appliances,Disability,Central,Persons with disabilities,Helps in obtaining durable aids and assistive devices.,Eligible persons with disabilities under income criteria.,Assistive devices support.,Apply through camps/agencies.,Disability certificate; income proof; ID.,https://www.myscheme.gov.in/
National Family Benefit Scheme,Poverty/BPL,Central,BPL families,One-time assistance on death of primary breadwinner.,Eligible BPL households under NSAP rules.,Lump-sum financial assistance.,Apply through local body/state process.,Death certificate; BPL proof; ID.,https://www.myscheme.gov.in/
Annapurna Scheme,Poverty/BPL,Central,Eligible indigent senior citizens,Food security support for eligible elderly persons not receiving pension.,Eligible indigent senior citizens under state implementation.,Food grain support.,Apply through local authority.,Age proof; eligibility proof.,https://www.myscheme.gov.in/
State Scholarship Support Scheme Andhra Pradesh,Students,Andhra Pradesh,Students,State-level scholarship/support entry placeholder for Andhra Pradesh. Verify exact scheme details from official source before demo use.,As per official state scheme rules.,Education support.,Apply through official state portal.,State-specific documents.,https://www.myscheme.gov.in/
State Farmer Assistance Scheme Andhra Pradesh,Farmers,Andhra Pradesh,Farmers,State-level farmer assistance entry placeholder for Andhra Pradesh. Verify exact scheme details from official source before demo use.,As per official state scheme rules.,Farmer support.,Apply through agriculture department/state portal.,State-specific documents.,https://www.myscheme.gov.in/
State Women Welfare Scheme Andhra Pradesh,Women,Andhra Pradesh,Women beneficiaries,State-level women welfare entry placeholder for Andhra Pradesh. Verify exact scheme details from official source before demo use.,As per official state scheme rules.,Women welfare support.,Apply through official department/state portal.,State-specific documents.,https://www.myscheme.gov.in/
State Scholarship Support Scheme Assam,Students,Assam,Students,State-level scholarship/support entry placeholder for Assam. Verify exact scheme details from official source before demo use.,As per official state scheme rules.,Education support.,Apply through official state portal.,State-specific documents.,https://www.myscheme.gov.in/
State Farmer Assistance Scheme Assam,Farmers,Assam,Farmers,State-level farmer assistance entry placeholder for Assam. Verify exact scheme details from official source before demo use.,As per official state scheme rules.,Farmer support.,Apply through agriculture department/state portal.,State-specific documents.,https://www.myscheme.gov.in/
State Women Welfare Scheme Assam,Women,Assam,Women beneficiaries,State-level women welfare entry placeholder for Assam. Verify exact scheme details from official source before demo use.,As per official state scheme rules.,Women welfare support.,Apply through official department/state portal.,State-specific documents.,https://www.myscheme.gov.in/
State Scholarship Support Scheme Bihar,Students,Bihar,Students,State-level scholarship/support entry placeholder for Bihar. Verify exact scheme details from official source before demo use.,As per official state scheme rules.,Education support.,Apply through official state portal.,State-specific documents.,https://www.myscheme.gov.in/
State Farmer Assistance Scheme Bihar,Farmers,Bihar,Farmers,State-level farmer assistance entry placeholder for Bihar. Verify exact scheme details from official source before demo use.,As per official state scheme rules.,Farmer support.,Apply through agriculture department/state portal.,State-specific documents.,https://www.myscheme.gov.in/
State Women Welfare Scheme Bihar,Women,Bihar,Women beneficiaries,State-level women welfare entry placeholder for Bihar. Verify exact scheme details from official source before demo use.,As per official state scheme rules.,Women welfare support.,Apply through official department/state portal.,State-specific documents.,https://www.myscheme.gov.in/
State Scholarship Support Scheme Delhi,Students,Delhi,Students,State-level scholarship/support entry placeholder for Delhi. Verify exact scheme details from official source before demo use.,As per official state scheme rules.,Education support.,Apply through official state portal.,State-specific documents.,https://www.myscheme.gov.in/
State Farmer Assistance Scheme Delhi,Farmers,Delhi,Farmers,State-level farmer assistance entry placeholder for Delhi. Verify exact scheme details from official source before demo use.,As per official state scheme rules.,Farmer support.,Apply through agriculture department/state portal.,State-specific documents.,https://www.myscheme.gov.in/
State Women Welfare Scheme Delhi,Women,Delhi,Women beneficiaries,State-level women welfare entry placeholder for Delhi. Verify exact scheme details from official source before demo use.,As per official state scheme rules.,Women welfare support.,Apply through official department/state portal.,State-specific documents.,https://www.myscheme.gov.in/
State Scholarship Support Scheme Goa,Students,Goa,Students,State-level scholarship/support entry placeholder for Goa. Verify exact scheme details from official source before demo use.,As per official state scheme rules.,Education support.,Apply through official state portal.,State-specific documents.,https://www.myscheme.gov.in/
State Farmer Assistance Scheme Goa,Farmers,Goa,Farmers,State-level farmer assistance entry placeholder for Goa. Verify exact scheme details from official source before demo use.,As per official state scheme rules.,Farmer support.,Apply through agriculture department/state portal.,State-specific documents.,https://www.myscheme.gov.in/
State Women Welfare Scheme Goa,Women,Goa,Women beneficiaries,State-level women welfare entry placeholder for Goa. Verify exact scheme details from official source before demo use.,As per official state scheme rules.,Women welfare support.,Apply through official department/state portal.,State-specific documents.,https://www.myscheme.gov.in/
State Scholarship Support Scheme Gujarat,Students,Gujarat,Students,State-level scholarship/support entry placeholder for Gujarat. Verify exact scheme details from official source before demo use.,As per official state scheme rules.,Education support.,Apply through official state portal.,State-specific documents.,https://www.myscheme.gov.in/
State Farmer Assistance Scheme Gujarat,Farmers,Gujarat,Farmers,State-level farmer assistance entry placeholder for Gujarat. Verify exact scheme details from official source before demo use.,As per official state scheme rules.,Farmer support.,Apply through agriculture department/state portal.,State-specific documents.,https://www.myscheme.gov.in/
State Women Welfare Scheme Gujarat,Women,Gujarat,Women beneficiaries,State-level women welfare entry placeholder for Gujarat. Verify exact scheme details from official source before demo use.,As per official state scheme rules.,Women welfare support.,Apply through official department/state portal.,State-specific documents.,https://www.myscheme.gov.in/
State Scholarship Support Scheme Haryana,Students,Haryana,Students,State-level scholarship/support entry placeholder for Haryana. Verify exact scheme details from official source before demo use.,As per official state scheme rules.,Education support.,Apply through official state portal.,State-specific documents.,https://www.myscheme.gov.in/
State Farmer Assistance Scheme Haryana,Farmers,Haryana,Farmers,State-level farmer assistance entry placeholder for Haryana. Verify exact scheme details from official source before demo use.,As per official state scheme rules.,Farmer support.,Apply through agriculture department/state portal.,State-specific documents.,https://www.myscheme.gov.in/
State Women Welfare Scheme Haryana,Women,Haryana,Women beneficiaries,State-level women welfare entry placeholder for Haryana. Verify exact scheme details from official source before demo use.,As per official state scheme rules.,Women welfare support.,Apply through official department/state portal.,State-specific documents.,https://www.myscheme.gov.in/
State Scholarship Support Scheme Karnataka,Students,Karnataka,Students,State-level scholarship/support entry placeholder for Karnataka. Verify exact scheme details from official source before demo use.,As per official state scheme rules.,Education support.,Apply through official state portal.,State-specific documents.,https://www.myscheme.gov.in/
State Farmer Assistance Scheme Karnataka,Farmers,Karnataka,Farmers,State-level farmer assistance entry placeholder for Karnataka. Verify exact scheme details from official source before demo use.,As per official state scheme rules.,Farmer support.,Apply through agriculture department/state portal.,State-specific documents.,https://www.myscheme.gov.in/
State Women Welfare Scheme Karnataka,Women,Karnataka,Women beneficiaries,State-level women welfare entry placeholder for Karnataka. Verify exact scheme details from official source before demo use.,As per official state scheme rules.,Women welfare support.,Apply through official department/state portal.,State-specific documents.,https://www.myscheme.gov.in/
State Scholarship Support Scheme Kerala,Students,Kerala,Students,State-level scholarship/support entry placeholder for Kerala. Verify exact scheme details from official source before demo use.,As per official state scheme rules.,Education support.,Apply through official state portal.,State-specific documents.,https://www.myscheme.gov.in/
State Farmer Assistance Scheme Kerala,Farmers,Kerala,Farmers,State-level farmer assistance entry placeholder for Kerala. Verify exact scheme details from official source before demo use.,As per official state scheme rules.,Farmer support.,Apply through agriculture department/state portal.,State-specific documents.,https://www.myscheme.gov.in/
State Women Welfare Scheme Kerala,Women,Kerala,Women beneficiaries,State-level women welfare entry placeholder for Kerala. Verify exact scheme details from official source before demo use.,As per official state scheme rules.,Women welfare support.,Apply through official department/state portal.,State-specific documents.,https://www.myscheme.gov.in/
State Scholarship Support Scheme Madhya Pradesh,Students,Madhya Pradesh,Students,State-level scholarship/support entry placeholder for Madhya Pradesh. Verify exact scheme details from official source before demo use.,As per official state scheme rules.,Education support.,Apply through official state portal.,State-specific documents.,https://www.myscheme.gov.in/
State Farmer Assistance Scheme Madhya Pradesh,Farmers,Madhya Pradesh,Farmers,State-level farmer assistance entry placeholder for Madhya Pradesh. Verify exact scheme details from official source before demo use.,As per official state scheme rules.,Farmer support.,Apply through agriculture department/state portal.,State-specific documents.,https://www.myscheme.gov.in/
State Women Welfare Scheme Madhya Pradesh,Women,Madhya Pradesh,Women beneficiaries,State-level women welfare entry placeholder for Madhya Pradesh. Verify exact scheme details from official source before demo use.,As per official state scheme rules.,Women welfare support.,Apply through official department/state portal.,State-specific documents.,https://www.myscheme.gov.in/
State Scholarship Support Scheme Maharashtra,Students,Maharashtra,Students,State-level scholarship/support entry placeholder for Maharashtra. Verify exact scheme details from official source before demo use.,As per official state scheme rules.,Education support.,Apply through official state portal.,State-specific documents.,https://www.myscheme.gov.in/
State Farmer Assistance Scheme Maharashtra,Farmers,Maharashtra,Farmers,State-level farmer assistance entry placeholder for Maharashtra. Verify exact scheme details from official source before demo use.,As per official state scheme rules.,Farmer support.,Apply through agriculture department/state portal.,State-specific documents.,https://www.myscheme.gov.in/
State Women Welfare Scheme Maharashtra,Women,Maharashtra,Women beneficiaries,State-level women welfare entry placeholder for Maharashtra. Verify exact scheme details from official source before demo use.,As per official state scheme rules.,Women welfare support.,Apply through official department/state portal.,State-specific documents.,https://www.myscheme.gov.in/
State Scholarship Support Scheme Odisha,Students,Odisha,Students,State-level scholarship/support entry placeholder for Odisha. Verify exact scheme details from official source before demo use.,As per official state scheme rules.,Education support.,Apply through official state portal.,State-specific documents.,https://www.myscheme.gov.in/
State Farmer Assistance Scheme Odisha,Farmers,Odisha,Farmers,State-level farmer assistance entry placeholder for Odisha. Verify exact scheme details from official source before demo use.,As per official state scheme rules.,Farmer support.,Apply through agriculture department/state portal.,State-specific documents.,https://www.myscheme.gov.in/
State Women Welfare Scheme Odisha,Women,Odisha,Women beneficiaries,State-level women welfare entry placeholder for Odisha. Verify exact scheme details from official source before demo use.,As per official state scheme rules.,Women welfare support.,Apply through official department/state portal.,State-specific documents.,https://www.myscheme.gov.in/
State Scholarship Support Scheme Punjab,Students,Punjab,Students,State-level scholarship/support entry placeholder for Punjab. Verify exact scheme details from official source before demo use.,As per official state scheme rules.,Education support.,Apply through official state portal.,State-specific documents.,https://www.myscheme.gov.in/
State Farmer Assistance Scheme Punjab,Farmers,Punjab,Farmers,State-level farmer assistance entry placeholder for Punjab. Verify exact scheme details from official source before demo use.,As per official state scheme rules.,Farmer support.,Apply through agriculture department/state portal.,State-specific documents.,https://www.myscheme.gov.in/
State Women Welfare Scheme Punjab,Women,Punjab,Women beneficiaries,State-level women welfare entry placeholder for Punjab. Verify exact scheme details from official source before demo use.,As per official state scheme rules.,Women welfare support.,Apply through official department/state portal.,State-specific documents.,https://www.myscheme.gov.in/
State Scholarship Support Scheme Rajasthan,Students,Rajasthan,Students,State-level scholarship/support entry placeholder for Rajasthan. Verify exact scheme details from official source before demo use.,As per official state scheme rules.,Education support.,Apply through official state portal.,State-specific documents.,https://www.myscheme.gov.in/
State Farmer Assistance Scheme Rajasthan,Farmers,Rajasthan,Farmers,State-level farmer assistance entry placeholder for Rajasthan. Verify exact scheme details from official source before demo use.,As per official state scheme rules.,Farmer support.,Apply through agriculture department/state portal.,State-specific documents.,https://www.myscheme.gov.in/
State Women Welfare Scheme Rajasthan,Women,Rajasthan,Women beneficiaries,State-level women welfare entry placeholder for Rajasthan. Verify exact scheme details from official source before demo use.,As per official state scheme rules.,Women welfare support.,Apply through official department/state portal.,State-specific documents.,https://www.myscheme.gov.in/
State Scholarship Support Scheme Tamil Nadu,Students,Tamil Nadu,Students,State-level scholarship/support entry placeholder for Tamil Nadu. Verify exact scheme details from official source before demo use.,As per official state scheme rules.,Education support.,Apply through official state portal.,State-specific documents.,https://www.myscheme.gov.in/
State Farmer Assistance Scheme Tamil Nadu,Farmers,Tamil Nadu,Farmers,State-level farmer assistance entry placeholder for Tamil Nadu. Verify exact scheme details from official source before demo use.,As per official state scheme rules.,Farmer support.,Apply through agriculture department/state portal.,State-specific documents.,https://www.myscheme.gov.in/
State Women Welfare Scheme Tamil Nadu,Women,Tamil Nadu,Women beneficiaries,State-level women welfare entry placeholder for Tamil Nadu. Verify exact scheme details from official source before demo use.,As per official state scheme rules.,Women welfare support.,Apply through official department/state portal.,State-specific documents.,https://www.myscheme.gov.in/
State Scholarship Support Scheme Telangana,Students,Telangana,Students,State-level scholarship/support entry placeholder for Telangana. Verify exact scheme details from official source before demo use.,As per official state scheme rules.,Education support.,Apply through official state portal.,State-specific documents.,https://www.myscheme.gov.in/
State Farmer Assistance Scheme Telangana,Farmers,Telangana,Farmers,State-level farmer assistance entry placeholder for Telangana. Verify exact scheme details from official source before demo use.,As per official state scheme rules.,Farmer support.,Apply through agriculture department/state portal.,State-specific documents.,https://www.myscheme.gov.in/
State Women Welfare Scheme Telangana,Women,Telangana,Women beneficiaries,State-level women welfare entry placeholder for Telangana. Verify exact scheme details from official source before demo use.,As per official state scheme rules.,Women welfare support.,Apply through official department/state portal.,State-specific documents.,https://www.myscheme.gov.in/
State Scholarship Support Scheme Uttar Pradesh,Students,Uttar Pradesh,Students,State-level scholarship/support entry placeholder for Uttar Pradesh. Verify exact scheme details from official source before demo use.,As per official state scheme rules.,Education support.,Apply through official state portal.,State-specific documents.,https://www.myscheme.gov.in/
State Farmer Assistance Scheme Uttar Pradesh,Farmers,Uttar Pradesh,Farmers,State-level farmer assistance entry placeholder for Uttar Pradesh. Verify exact scheme details from official source before demo use.,As per official state scheme rules.,Farmer support.,Apply through agriculture department/state portal.,State-specific documents.,https://www.myscheme.gov.in/
State Women Welfare Scheme Uttar Pradesh,Women,Uttar Pradesh,Women beneficiaries,State-level women welfare entry placeholder for Uttar Pradesh. Verify exact scheme details from official source before demo use.,As per official state scheme rules.,Women welfare support.,Apply through official department/state portal.,State-specific documents.,https://www.myscheme.gov.in/
State Scholarship Support Scheme West Bengal,Students,West Bengal,Students,State-level scholarship/support entry placeholder for West Bengal. Verify exact scheme details from official source before demo use.,As per official state scheme rules.,Education support.,Apply through official state portal.,State-specific documents.,https://www.myscheme.gov.in/
State Farmer Assistance Scheme West Bengal,Farmers,West Bengal,Farmers,State-level farmer assistance entry placeholder for West Bengal. Verify exact scheme details from official source before demo use.,As per official state scheme rules.,Farmer support.,Apply through agriculture department/state portal.,State-specific documents.,https://www.myscheme.gov.in/
State Women Welfare Scheme West Bengal,Women,West Bengal,Women beneficiaries,State-level women welfare entry placeholder for West Bengal. Verify exact scheme details from official source before demo use.,As per official state scheme rules.,Women welfare support.,Apply through official department/state portal.,State-specific documents.,https://www.myscheme.gov.in/
